,id,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
0,0,1,1,2023-10-25,,WAS,W,143,120,56,107,.523,20,43,.465,11,12,.917,10,51,38,10,8,12,23,44,96,.458,9,24,.375,23,29,.793,11,45,28,6,9,14,11,2024,IND
1,1,2,2,2023-10-28,@,CLE,W,125,113,48,98,.490,15,38,.395,14,17,.824,11,48,36,3,4,7,20,43,99,.434,12,31,.387,15,24,.625,18,51,29,2,6,6,16,2024,IND
2,2,3,3,2023-10-30,,CHI,L,105,112,36,88,.409,12,46,.261,21,25,.840,11,47,26,7,5,17,24,40,87,.460,6,17,.353,26,31,.839,10,44,19,8,6,13,17,2024,IND
3,3,4,4,2023-11-01,@,BOS,L,104,155,46,101,.455,5,37,.135,7,12,.583,8,31,26,6,6,9,20,54,95,.568,20,35,.571,27,28,.964,11,57,27,5,2,11,19,2024,IND
4,4,5,5,2023-11-03,,CLE,W,121,116,45,86,.523,15,31,.484,16,24,.667,7,40,28,7,5,18,18,44,84,.524,8,28,.286,20,25,.800,5,35,27,10,9,13,20,2024,IND
5,5,6,6,2023-11-04,,CHO,L,124,125,45,93,.484,22,45,.489,12,16,.750,11,36,31,7,5,14,18,47,88,.534,8,20,.400,23,23,1.000,12,41,23,5,10,13,20,2024,IND
6,6,7,7,2023-11-06,,SAS,W,152,111,55,95,.579,20,38,.526,22,23,.957,9,49,38,7,4,14,24,40,94,.426,8,26,.308,23,30,.767,12,36,26,7,5,11,15,2024,IND
7,7,8,8,2023-11-08,,UTA,W,134,118,52,101,.515,13,41,.317,17,20,.850,14,46,26,14,7,11,15,45,96,.469,11,27,.407,17,18,.944,16,47,26,3,5,21,17,2024,IND
8,8,9,9,2023-11-09,,MIL,W,126,124,44,92,.478,20,48,.417,18,20,.900,9,40,27,6,6,11,25,46,87,.529,9,27,.333,23,26,.885,5,41,23,6,5,14,19,2024,IND
9,9,10,10,2023-11-12,@,PHI,L,126,137,47,90,.522,16,39,.410,16,19,.842,8,32,31,8,9,10,14,53,105,.505,14,33,.424,17,20,.850,23,54,28,5,7,11,15,2024,IND
10,10,11,11,2023-11-14,@,PHI,W,132,126,48,93,.516,13,37,.351,23,33,.697,10,41,32,7,5,11,28,43,86,.500,6,22,.273,34,35,.971,5,38,22,5,3,16,26,2024,IND
11,11,12,12,2023-11-19,,ORL,L,116,128,42,95,.442,8,31,.258,24,31,.774,11,40,24,10,7,16,32,43,87,.494,7,20,.350,35,42,.833,8,42,21,10,10,15,23,2024,IND
12,12,13,13,2023-11-21,@,ATL,W,157,152,57,94,.606,22,45,.489,21,28,.750,7,29,35,7,11,13,25,57,95,.600,15,31,.484,23,28,.821,12,39,28,8,4,15,23,2024,IND
13,13,14,14,2023-11-22,,TOR,L,131,132,50,91,.549,18,39,.462,13,16,.813,5,31,33,10,6,14,24,48,90,.533,11,27,.407,25,30,.833,13,46,26,7,3,17,15,2024,IND
14,14,15,15,2023-11-24,,DET,W,136,113,49,102,.480,16,38,.421,22,24,.917,15,40,24,7,8,8,21,43,90,.478,7,18,.389,20,24,.833,14,43,22,6,11,14,18,2024,IND
15,15,16,16,2023-11-27,,POR,L,110,114,42,88,.477,8,33,.242,18,24,.750,10,42,26,10,6,20,24,40,85,.471,9,18,.500,25,31,.806,9,38,20,6,4,16,21,2024,IND
16,16,17,17,2023-11-30,@,MIA,L,132,142,50,98,.510,11,43,.256,21,32,.656,10,34,30,11,5,9,31,48,86,.558,8,21,.381,38,45,.844,10,48,25,4,1,14,28,2024,IND
17,17,18,18,2023-12-02,@,MIA,W,144,129,56,85,.659,16,32,.500,16,20,.800,3,32,35,4,8,9,24,48,89,.539,12,25,.480,21,24,.875,6,28,27,3,1,10,22,2024,IND
18,18,19,19,2023-12-04,,BOS,W,122,112,43,94,.457,19,40,.475,17,21,.810,7,41,28,8,4,6,15,46,97,.474,12,41,.293,8,12,.667,13,56,27,5,9,17,19,2024,IND
19,19,20,20,2023-12-07,@,MIL,W,128,119,50,102,.490,7,33,.212,21,25,.840,15,51,30,9,8,9,21,43,96,.448,12,33,.364,21,28,.750,12,46,19,3,9,12,17,2024,IND
22,22,21,21,2023-12-11,@,DET,W,131,123,52,92,.565,13,31,.419,14,19,.737,11,43,33,8,5,18,20,45,81,.556,10,29,.345,23,30,.767,6,30,26,11,4,14,18,2024,IND
23,23,22,22,2023-12-13,@,MIL,L,126,140,45,100,.450,11,36,.306,25,32,.781,16,45,30,7,6,18,32,48,89,.539,7,27,.259,37,48,.771,12,43,27,8,8,15,24,2024,IND
24,24,23,23,2023-12-15,@,WAS,L,123,137,48,107,.449,15,40,.375,12,16,.750,13,41,35,7,8,15,25,52,92,.565,13,27,.481,20,26,.769,8,47,36,7,8,17,18,2024,IND
25,25,24,24,2023-12-16,@,MIN,L,109,127,45,90,.500,6,21,.286,13,16,.813,13,40,25,10,6,13,15,48,86,.558,18,30,.600,13,16,.813,8,36,33,10,4,15,16,2024,IND
26,26,25,25,2023-12-18,,LAC,L,127,151,49,95,.516,12,33,.364,17,21,.810,11,34,38,6,7,11,21,56,98,.571,19,38,.500,20,23,.870,14,46,26,4,9,11,19,2024,IND
27,27,26,26,2023-12-20,,CHO,W,144,113,49,80,.613,18,39,.462,28,30,.933,8,38,37,6,8,13,20,45,95,.474,8,31,.258,15,19,.789,16,37,23,6,0,10,18,2024,IND
28,28,27,27,2023-12-21,@,MEM,L,103,116,38,90,.422,18,52,.346,9,11,.818,12,39,28,12,9,16,21,43,84,.512,16,35,.457,14,21,.667,8,41,27,8,7,18,14,2024,IND
29,29,28,28,2023-12-23,,ORL,L,110,117,43,82,.524,15,34,.441,9,13,.692,7,33,27,7,6,15,30,39,73,.534,6,18,.333,33,41,.805,10,39,22,9,5,13,18,2024,IND
30,30,29,29,2023-12-26,@,HOU,W,123,117,43,82,.524,19,43,.442,18,21,.857,10,45,28,5,7,20,22,47,97,.485,5,24,.208,18,22,.818,15,44,19,15,2,10,16,2024,IND
31,31,30,30,2023-12-28,@,CHI,W,120,104,43,85,.506,19,42,.452,15,22,.682,6,47,30,6,9,13,21,40,97,.412,7,27,.259,17,22,.773,13,47,19,7,4,7,20,2024,IND
32,32,31,31,2023-12-30,,NYK,W,140,126,50,85,.588,23,43,.535,17,21,.810,7,34,40,6,7,16,18,45,95,.474,17,37,.459,19,27,.704,15,42,24,12,2,13,19,2024,IND
33,33,32,32,2024-01-01,@,MIL,W,122,113,43,97,.443,5,35,.143,31,38,.816,14,52,23,7,5,7,24,41,93,.441,10,40,.250,21,26,.808,8,46,27,4,8,11,26,2024,IND
34,34,33,33,2024-01-03,,MIL,W,142,130,50,90,.556,14,35,.400,28,34,.824,7,44,34,7,5,10,27,46,92,.500,14,37,.378,24,32,.750,10,42,30,6,4,13,25,2024,IND
