,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 24_level_1,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
0,1,1,2020-12-23,@,BOS,L,121,122,46,90,.511,14,35,.400,15,18,.833,11,52,19,4,6,16,20,,48,101,.475,18,40,.450,8,11,.727,10,37,23,8,6,6,17,2023,MIL
1,2,2,2020-12-25,,GSW,W,138,99,50,90,.556,20,36,.556,18,26,.692,11,60,25,6,4,17,17,,34,99,.343,10,45,.222,21,25,.840,10,43,14,5,6,11,22,2023,MIL
2,3,3,2020-12-27,@,NYK,L,110,130,41,95,.432,7,38,.184,21,29,.724,17,44,24,7,5,11,21,,46,85,.541,16,27,.593,22,27,.815,8,46,27,5,4,15,23,2023,MIL
3,4,4,2020-12-29,@,MIA,W,144,97,51,92,.554,29,51,.569,13,15,.867,10,45,32,14,2,17,22,,37,79,.468,11,37,.297,12,18,.667,3,30,23,9,6,21,18,2023,MIL
4,5,5,2020-12-30,@,MIA,L,108,119,40,102,.392,16,41,.390,12,13,.923,16,47,26,14,6,13,25,,40,82,.488,15,39,.385,24,29,.828,10,52,25,5,5,22,18,2023,MIL
5,6,6,2021-01-01,,CHI,W,126,96,42,85,.494,22,45,.489,20,30,.667,5,44,27,16,6,17,19,,38,87,.437,6,26,.231,14,20,.700,6,42,18,10,6,20,21,2023,MIL
6,7,7,2021-01-04,,DET,W,125,115,49,85,.576,14,34,.412,13,16,.813,7,49,32,6,4,19,18,,43,98,.439,17,40,.425,12,12,1.000,6,31,27,9,5,8,17,2023,MIL
7,8,8,2021-01-06,,DET,W,130,115,49,90,.544,19,43,.442,13,21,.619,9,47,35,5,4,14,22,,38,97,.392,13,41,.317,26,30,.867,15,47,20,6,3,9,20,2023,MIL
8,9,9,2021-01-08,,UTA,L,118,131,44,98,.449,13,42,.310,17,21,.810,9,45,18,5,5,12,19,,49,97,.505,25,53,.472,8,13,.615,10,50,31,6,8,10,18,2023,MIL
9,10,10,2021-01-09,,CLE,W,100,90,37,84,.440,12,36,.333,14,18,.778,11,45,25,11,4,15,14,,36,87,.414,7,26,.269,11,16,.688,14,47,16,6,4,15,18,2023,MIL
10,11,11,2021-01-11,@,ORL,W,121,99,46,91,.505,13,35,.371,16,20,.800,11,43,25,15,7,14,17,,39,91,.429,11,31,.355,10,13,.769,15,44,24,5,4,18,13,2023,MIL
11,12,12,2021-01-13,@,DET,W,110,101,41,85,.482,19,43,.442,9,14,.643,10,48,31,10,9,14,20,,36,92,.391,14,35,.400,15,22,.682,13,47,25,8,3,16,19,2023,MIL
12,13,13,2021-01-15,,DAL,W,112,109,43,96,.448,14,37,.378,12,25,.480,16,57,22,5,3,10,14,,45,97,.464,13,36,.361,6,13,.462,11,51,22,5,6,9,23,2023,MIL
13,14,14,2021-01-18,@,BRK,L,123,125,46,105,.438,11,38,.289,20,24,.833,11,41,21,9,2,5,15,,46,84,.548,15,31,.484,18,21,.857,7,49,26,2,5,17,19,2023,MIL
14,15,15,2021-01-21,,LAL,L,106,113,44,87,.506,9,28,.321,9,12,.750,5,46,27,5,5,14,18,,41,88,.466,19,37,.514,12,15,.800,6,38,25,8,8,10,14,2023,MIL
15,16,16,2021-01-24,,ATL,W,129,115,50,91,.549,10,31,.323,19,27,.704,16,52,32,4,2,16,16,,42,83,.506,14,39,.359,17,22,.773,5,27,27,8,4,9,23,2023,MIL
16,17,17,2021-01-27,@,TOR,W,115,108,40,93,.430,16,44,.364,19,26,.731,14,59,30,9,3,14,14,,38,94,.404,22,55,.400,10,12,.833,10,46,26,8,8,11,20,2023,MIL
17,18,18,2021-01-29,@,NOP,L,126,131,48,96,.500,13,35,.371,17,22,.773,12,49,29,5,5,12,19,,45,96,.469,21,48,.438,20,28,.714,12,45,32,7,3,9,16,2023,MIL
18,19,19,2021-01-30,@,CHO,L,114,126,40,82,.488,18,45,.400,16,24,.667,8,46,22,6,6,15,17,,44,92,.478,21,44,.477,17,20,.850,7,41,32,8,5,9,20,2023,MIL
19,20,20,2021-02-01,,POR,W,134,106,53,96,.552,21,42,.500,7,12,.583,9,53,38,10,7,12,13,,39,104,.375,15,42,.357,13,13,1.000,14,45,19,8,6,11,10,2023,MIL
